starttime_utc,endtime_utc,starttime_ist,endtime_ist,demand_mwh,solar_mwh,wind_mwh
"2023-01-01 00:00:00","2023-01-01 01:00:00","2023-01-01 00:00:00","2023-01-01 01:00:00","3959.75","0.0","699.875"
"2023-01-01 01:00:00","2023-01-01 02:00:00","2023-01-01 01:00:00","2023-01-01 02:00:00","3798.125","0.0","711.25"
"2023-01-01 02:00:00","2023-01-01 03:00:00","2023-01-01 02:00:00","2023-01-01 03:00:00","3620.125","0.0","625.875"
"2023-01-01 03:00:00","2023-01-01 04:00:00","2023-01-01 03:00:00","2023-01-01 04:00:00","3486.25","0.0","571.375"
"2023-01-01 04:00:00","2023-01-01 05:00:00","2023-01-01 04:00:00","2023-01-01 05:00:00","3403.75","0.0","505.5"
"2023-01-01 05:00:00","2023-01-01 06:00:00","2023-01-01 05:00:00","2023-01-01 06:00:00","3383.75","0.0","557.125"
"2023-01-01 06:00:00","2023-01-01 07:00:00","2023-01-01 06:00:00","2023-01-01 07:00:00","3450.125","0.0","734.5"
"2023-01-01 07:00:00","2023-01-01 08:00:00","2023-01-01 07:00:00","2023-01-01 08:00:00","3543.25","0.0","654.25"
"2023-01-01 08:00:00","2023-01-01 09:00:00","2023-01-01 08:00:00","2023-01-01 09:00:00","3640.625","0.017","571.125"
"2023-01-01 09:00:00","2023-01-01 10:00:00","2023-01-01 09:00:00","2023-01-01 10:00:00","3870.375","2.119","485.125"
"2023-01-01 10:00:00","2023-01-01 11:00:00","2023-01-01 10:00:00","2023-01-01 11:00:00","4188.625","6.042","336.0"
"2023-01-01 11:00:00","2023-01-01 12:00:00","2023-01-01 11:00:00","2023-01-01 12:00:00","4499.375","6.231","290.875"
"2023-01-01 12:00:00","2023-01-01 13:00:00","2023-01-01 12:00:00","2023-01-01 13:00:00","4795.25","6.75","245.75"
"2023-01-01 13:00:00","2023-01-01 14:00:00","2023-01-01 13:00:00","2023-01-01 14:00:00","4905.0","7.361","170.125"
"2023-01-01 14:00:00","2023-01-01 15:00:00","2023-01-01 14:00:00","2023-01-01 15:00:00","4835.0","3.863","170.625"
"2023-01-01 15:00:00","2023-01-01 16:00:00","2023-01-01 15:00:00","2023-01-01 16:00:00","4796.25","0.993","259.875"
"2023-01-01 16:00:00","2023-01-01 17:00:00","2023-01-01 16:00:00","2023-01-01 17:00:00","4985.625","0.0","372.625"
"2023-01-01 17:00:00","2023-01-01 18:00:00","2023-01-01 17:00:00","2023-01-01 18:00:00","5228.125","0.0","531.625"
"2023-01-01 18:00:00","2023-01-01 19:00:00","2023-01-01 18:00:00","2023-01-01 19:00:00","5070.625","0.0","592.875"
"2023-01-01 19:00:00","2023-01-01 20:00:00","2023-01-01 19:00:00","2023-01-01 20:00:00","4866.25","0.0","579.25"
"2023-01-01 20:00:00","2023-01-01 21:00:00","2023-01-01 20:00:00","2023-01-01 21:00:00","4662.75","0.0","595.25"
"2023-01-01 21:00:00","2023-01-01 22:00:00","2023-01-01 21:00:00","2023-01-01 22:00:00","4471.875","0.0","584.625"
"2023-01-01 22:00:00","2023-01-01 23:00:00","2023-01-01 22:00:00","2023-01-01 23:00:00","4231.125","0.0","490.375"
"2023-01-01 23:00:00","2023-01-02 00:00:00","2023-01-01 23:00:00","2023-01-02 00:00:00","4094.25","0.0","414.625"
"2023-01-02 00:00:00","2023-01-02 01:00:00","2023-01-02 00:00:00","2023-01-02 01:00:00","3865.625","0.0","374.75"
"2023-01-02 01:00:00","2023-01-02 02:00:00","2023-01-02 01:00:00","2023-01-02 02:00:00","3676.375","0.0","353.125"
"2023-01-02 02:00:00","2023-01-02 03:00:00","2023-01-02 02:00:00","2023-01-02 03:00:00","3551.125","0.0","348.125"
"2023-01-02 03:00:00","2023-01-02 04:00:00","2023-01-02 03:00:00","2023-01-02 04:00:00","3469.375","0.0","282.25"
"2023-01-02 04:00:00","2023-01-02 05:00:00","2023-01-02 04:00:00","2023-01-02 05:00:00","3435.875","0.0","234.125"
"2023-01-02 05:00:00","2023-01-02 06:00:00","2023-01-02 05:00:00","2023-01-02 06:00:00","3484.0","0.0","212.5"
"2023-01-02 06:00:00","2023-01-02 07:00:00","2023-01-02 06:00:00","2023-01-02 07:00:00","3654.0","0.0","183.625"
"2023-01-02 07:00:00","2023-01-02 08:00:00","2023-01-02 07:00:00","2023-01-02 08:00:00","3873.75","0.0","226.125"
"2023-01-02 08:00:00","2023-01-02 09:00:00","2023-01-02 08:00:00","2023-01-02 09:00:00","4051.25","0.148","308.625"
"2023-01-02 09:00:00","2023-01-02 10:00:00","2023-01-02 09:00:00","2023-01-02 10:00:00","4356.375","6.087","497.0"
"2023-01-02 10:00:00","2023-01-02 11:00:00","2023-01-02 10:00:00","2023-01-02 11:00:00","4619.75","21.547","733.625"
"2023-01-02 11:00:00","2023-01-02 12:00:00","2023-01-02 11:00:00","2023-01-02 12:00:00","4749.5","31.777","929.375"
"2023-01-02 12:00:00","2023-01-02 13:00:00","2023-01-02 12:00:00","2023-01-02 13:00:00","4832.75","35.119","1161.125"
"2023-01-02 13:00:00","2023-01-02 14:00:00","2023-01-02 13:00:00","2023-01-02 14:00:00","4840.0","29.985","1362.875"
"2023-01-02 14:00:00","2023-01-02 15:00:00","2023-01-02 14:00:00","2023-01-02 15:00:00","4793.375","17.856","1617.625"
"2023-01-02 15:00:00","2023-01-02 16:00:00","2023-01-02 15:00:00","2023-01-02 16:00:00","4865.0","2.867","1965.375"
"2023-01-02 16:00:00","2023-01-02 17:00:00","2023-01-02 16:00:00","2023-01-02 17:00:00","5296.125","0.011","2530.375"
"2023-01-02 17:00:00","2023-01-02 18:00:00","2023-01-02 17:00:00","2023-01-02 18:00:00","5802.25","0.0","2928.0"
"2023-01-02 18:00:00","2023-01-02 19:00:00","2023-01-02 18:00:00","2023-01-02 19:00:00","5680.875","0.0","3347.125"
"2023-01-02 19:00:00","2023-01-02 20:00:00","2023-01-02 19:00:00","2023-01-02 20:00:00","5427.625","0.0","3698.5"
"2023-01-02 20:00:00","2023-01-02 21:00:00","2023-01-02 20:00:00","2023-01-02 21:00:00","5132.5","0.0","4016.0"
"2023-01-02 21:00:00","2023-01-02 22:00:00","2023-01-02 21:00:00","2023-01-02 22:00:00","4863.625","0.0","4114.25"
"2023-01-02 22:00:00","2023-01-02 23:00:00","2023-01-02 22:00:00","2023-01-02 23:00:00","4444.875","0.0","3839.25"
"2023-01-02 23:00:00","2023-01-03 00:00:00","2023-01-02 23:00:00","2023-01-03 00:00:00","4203.875","0.0","3840.25"
"2023-01-03 00:00:00","2023-01-03 01:00:00","2023-01-03 00:00:00","2023-01-03 01:00:00","3887.375","0.0","3596.875"
